RSI,ATR_Pct,Overext,RR,MomCons,VolSurge,RR_MomCons,RSI_Neutral,Risk_Score,Vol_Mom
0.08875541,0.3161496,0.32469466,0.08832769,0.025371399,0.18492788,0.71335363,0.22371307,0.06850351,0.1392523
0.81519735,0.42080763,-0.32273367,0.29288954,-0.1544792,0.14099334,0.40344885,-0.29830527,0.5666675,0.4691964
0.078525454,0.19561315,0.37566128,0.06311214,0.032305136,0.6426032,0.6043049,0.2235881,0.7291004,-0.20522611
1.1716694,0.5305013,-0.01720918,0.089740515,-0.06363355,0.110876255,-0.25804836,-0.2667494,1.1070056,-0.34442848
0.36516866,0.5115179,-0.5785647,-0.2520688,0.11397418,-0.18304162,0.6496346,-0.5187591,1.080787,0.42422512
0.26659575,-0.029077906,0.10778832,0.12093331,0.048161015,0.18920888,-0.15114534,0.28822246,0.74673194,0.21338886
0.16641486,0.653457,0.19882745,0.25500408,-0.03979204,0.23441818,-0.20873538,0.28748304,-0.16093801,0.65969783
0.13457626,-1.7614661,-0.44796234,-0.1176341,0.06462921,0.06325216,0.18449299,-0.6758107,-0.14995576,0.57602763
0.20526518,0.039187636,0.031067261,0.28125218,-0.05538286,0.33688214,-0.38919967,0.42328915,0.6670653,0.48290503
1.1566331,0.549685,-0.3684808,0.19106993,0.083538294,0.17488661,0.6449839,-0.26509985,-0.104974374,0.40643138
0.056784388,0.68828744,0.1812235,0.23709325,0.028290529,0.5062811,0.36509764,-0.18040937,-0.010718529,0.6189773
-0.34013554,-1.6096102,-0.020227969,-0.03518805,-0.10878951,0.40881294,0.28339785,-0.0010770152,-0.33900228,-0.18956308
0.010276416,0.7144086,0.31666693,0.10961248,0.021159828,0.3852979,0.8235586,-0.1772289,-0.07036371,0.1015793
0.16276534,0.0075056716,0.32728553,0.12469157,-0.029735008,0.24650049,-0.44825125,0.3871791,0.90676826,0.38804367
0.84292907,0.8965793,0.3478187,-0.28589848,-0.08873253,0.4089864,0.80890095,-0.29484043,-0.104163446,0.32994008
0.12383068,-0.1774821,0.28322974,0.10834612,-0.04009456,0.31508994,-0.21752486,0.62205917,0.44084316,0.31161562
0.37316278,0.5007656,-0.7204978,-0.25590494,-0.09245254,0.27629614,-0.72133803,-0.7726919,-0.20940179,-0.097768895
1.273978,0.12101014,-0.34727597,0.20326924,0.08230441,0.2795693,0.67822856,-0.2565579,-0.14092523,0.19708598
-0.20285375,-1.8058819,-0.15605058,0.01251881,0.022465106,-0.081866264,0.22257403,-0.89410925,0.2704527,-1.0290569
0.068610914,0.36687857,0.304207,-0.094198376,-0.03756144,0.24249257,0.5975057,-0.13302878,0.048460353,0.5904851
