Ticker,Date,Close,RSI,ATR_Pct,Overext,RR,MomCons,VolSurge,ML_Prob,PassesCore,PassesSpec,Tech_Score,Final_Score,Market_Trend,Market_Volatility,SPY_RSI,Relative_Strength_20d,Dist_From_52w_High,Vol_Breakout,Price_Breakout,Mom_Acceleration,R_5d,Excess_5d,R_10d,Excess_10d,R_20d,Excess_20d,Fund_Score
AMZN,2024-10-10,186.64999389648438,54.036109765466044,0.020603885560164407,0.04114949483809949,1.249576796170951,0.42857142857142855,0.7638333630921822,0.5,True,True,30.320239193711902,26.67613155654155,1.0,0.09760792485355282,60.706545551606794,-0.03551052161709256,-0.07231611964437923,0.0,0.0,1.0,0.471473298467151,-0.6081290234021708,-0.14464989150849705,-0.6844564138364428,12.536838960868657,9.15566555775429,
AMZN,2024-10-15,187.69000244140625,55.517652045214994,0.020112960076589054,0.04102074267461964,0.9100152144978441,0.42857142857142855,0.8823304410294939,0.5,True,True,30.30912139275627,26.67001676601595,1.0,0.10643776827815626,60.76963430894664,-0.02850063526681934,-0.0671470910126869,0.0,0.0,1.0,1.0709118656777816,0.460353633397359,1.6729710420397614,1.3297431441284369,11.305877214918603,8.35305389587968,
V,2024-10-15,276.7940979003906,55.541636491562954,0.012201870773369044,0.016824736579853505,0.9668645126740449,0.6428571428571429,0.7887743299934598,0.5,True,True,30.278545154745313,26.653199835109923,1.0,0.10643776827815626,60.76963430894664,-0.07491888789712908,-0.047019486824052215,0.0,0.0,1.0,1.9692857400378294,1.3587275077574068,0.9273440133168886,0.5841161154055641,11.152935246117712,8.20011192707879,
TSLA,2024-05-24,179.24000549316406,53.78556576692704,0.03869911566814341,0.04544820974082997,1.375115290944047,0.42857142857142855,0.7370831335189888,0.5,True,True,30.265052260810478,26.645778743445764,1.0,0.10717649477822898,74.89379355125746,0.02339467890666458,-0.4011159732174585,0.0,0.0,0.0,-1.6458447425922174,-1.3360685817594198,-3.040622651196645,-4.215440110820778,4.524659876034676,1.2858304640434248,
NVDA,2024-07-19,117.88611602783203,35.70875459213883,0.04592917601811013,0.015321677473689288,,0.5,0.7058656811669073,0.5,True,True,30.263812400456946,26.64509682025132,0.0,0.09660309224465236,55.16349005965948,-0.10513248131853759,-0.16219086759442625,0.0,0.0,0.0,-4.129574155220094,-3.3007744987181393,-9.039269733707943,-6.10844081779126,5.638935437559778,4.669889880611988,
TSLA,2024-08-08,198.83999633789062,35.96499026091898,0.0709041039881429,-0.053463793832909334,8.152540436858155,0.42857142857142855,0.6212390745783687,0.5,True,True,30.250539596305636,26.637796777968102,0.0,0.21242216748566672,40.19253404520981,-0.12862380196228373,-0.2872607767312938,0.0,0.0,0.0,7.694630523809898,3.4696279138878072,5.944481765194221,1.1258766056526648,5.979681959681615,4.149863827460987,
NVDA,2024-08-22,123.6939468383789,57.978916056787405,0.05413423922125119,0.024203786997288423,0.2521143107964637,0.6428571428571429,1.0148455952799627,0.5,True,True,30.24504479227022,26.634774635748624,0.0,0.20547210816369024,66.20339473455331,0.06898731921078727,-0.120914983236731,0.0,0.0,0.0,-4.9700998833453465,-5.353016143098743,-16.898332201820864,-14.046942391040828,-6.2470343672008095,-8.723217267729922,
MSFT,2024-08-20,421.63458251953125,64.99583247539385,0.020648764109725614,-0.02294763862949012,0.10962524874551245,0.6428571428571429,0.6741755618558217,0.5,True,True,30.24299176450152,26.633645470475837,0.0,0.22161952793242554,54.721706142156265,-0.05223442411616985,-0.09135114703223846,0.0,0.0,0.0,-2.580043806793253,-3.091937150016999,-3.742938865189527,-2.3558036223316092,1.414774710298583,0.9314967295760201,
NVDA,2024-05-22,94.90686798095703,65.13156895100937,0.028847520426919654,0.07118926587778596,0.03539507699781635,0.5714285714285714,1.4066164412307662,0.5,True,True,30.241756699466332,26.632966184706483,1.0,0.10585388149161887,91.27823656683908,0.14336949394346177,-0.02515397586103374,0.0,1.0,0.0,16.377034595795557,17.739729521279656,27.433381676131454,26.521750398693115,33.31268695788694,30.210411446619666,
MSFT,2024-10-25,424.9595947265625,67.97675231259213,0.015503561716092504,0.017898731560075598,0.11552898881156777,0.7142857142857143,0.9902603585870986,0.5,True,True,30.234987316805224,26.629243024242875,1.0,0.09521817447356484,65.63716651397199,-0.012942627262142459,-0.08418553810621354,0.0,1.0,1.0,-4.152752918547808,-2.77115177706092,-1.310276511237718,-4.61748597736813,-2.409272308459931,-5.253632909579875,
MSFT,2024-05-09,407.7757568359375,58.09542557183135,0.02156611354478866,-0.003403654247660759,0.4167017881063146,0.7142857142857143,0.706760720525756,0.5,True,True,30.22920308440593,26.626061696423264,0.0,0.13874075924484008,75.65128292758196,-0.040667078940837764,-0.04294133000786193,0.0,0.0,1.0,2.286888874985449,0.6489401609591772,3.747134784354067,2.634035258052081,2.9817850566636883,0.32112379162370086,
MSFT,2024-06-05,420.0932922363281,57.28146036030718,0.01750127562985089,0.020775184568866845,0.45815042910686377,0.5714285714285714,0.9261091585479472,0.5,True,True,30.22100550906836,26.6215530299876,1.0,0.08856197164568896,57.57666826562792,0.003808637515417601,-0.022117152452806876,0.0,0.0,0.0,4.021127422039994,2.769889136338999,5.115448148818902,2.8093532252089215,10.27097441400555,6.201293228971959,
AMZN,2024-06-06,185.0,63.948222854527124,0.017459459930773406,0.01404757017042546,0.5257010845151768,0.42857142857142855,0.8586426383652968,0.5,True,True,30.217816489482992,26.619799069215645,1.0,0.08859027808335387,59.57027396031611,-0.04973624388811482,-0.03495042803809301,0.0,0.0,1.0,-0.6324314426731426,-2.089426666173344,2.2054063951646885,0.03455234583698008,7.724320695206921,3.5326281771496992,
